
==========
== CUDA ==
==========

CUDA Version 12.1.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.


################################################################################
# HORIZON: 1 HOUR(S)
################################################################################

============================================================
Loading data for horizon h+1
============================================================
Features: 823

[Train XGBoost]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:37:51] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)
[0]	train-mlogloss:1.06745	valid-mlogloss:1.07058
Epoch  66/80 | Loss 0.0058 | Val F1 0.8066 | LR 1.25e-04 | 0.4s (patience 9/20)
Epoch  67/80 | Loss 0.0055 | Val F1 0.8066 | LR 1.25e-04 | 0.4s (patience 9/20)
Epoch  68/80 | Loss 0.0090 | Val F1 0.8066 | LR 1.25e-04 | 0.4s (patience 9/20)
Epoch  69/80 | Loss 0.0080 | Val F1 0.8066 | LR 1.25e-04 | 0.4s (patience 9/20)
Epoch  70/80 | Loss 0.0074 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 8/20)
Epoch  71/80 | Loss 0.0044 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 8/20)
Epoch  72/80 | Loss 0.0048 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 8/20)
Epoch  73/80 | Loss 0.0051 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 8/20)
Epoch  74/80 | Loss 0.0072 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 8/20)
Epoch  75/80 | Loss 0.0070 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 7/20)
Epoch  76/80 | Loss 0.0053 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 7/20)
Epoch  77/80 | Loss 0.0047 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 7/20)
Epoch  78/80 | Loss 0.0059 | Val F1 0.8091 | LR 1.25e-04 | 0.4s (patience 7/20)
Epoch  79/80 | Loss 0.0032 | Val F1 0.8091 | LR 1.25e-04 | 0.3s (patience 7/20)
Epoch  80/80 | Loss 0.0056 | Val F1 0.7989 | LR 1.25e-04 | 0.4s (patience 6/20)

✓ Deep training done in 0.50 min | Best val F1=0.8145

============================================================
EVALUATION - DeepGBM (h+1)
============================================================

[Search xgb_weight] best_w=0.80 on valid (F1_macro=0.8839)

Train Results (h+1):
────────────────────────────────────────────────────────────
Deep-only:           Acc=0.9306, F1_macro=0.9275
XGB-only:            Acc=1.0000, F1_macro=1.0000
Deep+XGB (w=0.80): Acc=1.0000, F1_macro=1.0000

Naive baseline:
  Acc:     0.7947
  F1Macro: 0.7841

Classification report (Deep+XGB):
              precision    recall  f1-score   support

        high     1.0000    1.0000    1.0000      2296
         low     1.0000    1.0000    1.0000      2714
         mid     1.0000    1.0000    1.0000      1932

    accuracy                         1.0000      6942
   macro avg     1.0000    1.0000    1.0000      6942
weighted avg     1.0000    1.0000    1.0000      6942


Valid Results (h+1):
────────────────────────────────────────────────────────────
Deep-only:           Acc=0.8452, F1_macro=0.8145
XGB-only:            Acc=0.8988, F1_macro=0.8813
Deep+XGB (w=0.80): Acc=0.9048, F1_macro=0.8839

Naive baseline:
  Acc:     0.8869
  F1Macro: 0.8576

Classification report (Deep+XGB):
              precision    recall  f1-score   support

        high     0.7917    0.9500    0.8636        20
         low     0.9785    0.9192    0.9479        99
         mid     0.8235    0.8571    0.8400        49

    accuracy                         0.9048       168
   macro avg     0.8646    0.9088    0.8839       168
weighted avg     0.9111    0.9048    0.9064       168


Test Results (h+1):
────────────────────────────────────────────────────────────
Deep-only:           Acc=0.7365, F1_macro=0.7120
XGB-only:            Acc=0.8020, F1_macro=0.7834
Deep+XGB (w=0.80): Acc=0.7962, F1_macro=0.7775

Naive baseline:
  Acc:     0.7704
  F1Macro: 0.7438

Classification report (Deep+XGB):
              precision    recall  f1-score   support

        high     0.7896    0.8464    0.8170       625
         low     0.9301    0.8283    0.8762      1060
         mid     0.6035    0.6797    0.6393       562

    accuracy                         0.7962      2247
   macro avg     0.7744    0.7848    0.7775      2247
weighted avg     0.8093    0.7962    0.8005      2247

Training history saved to: /app/classification-analysis/deepgbm_unified_v2/h1/training_history_h1.png
Confusion matrices saved to: /app/classification-analysis/deepgbm_unified_v2/h1/confusion_matrices_h1.png
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:38:33] WARNING: /workspace/src/c_api/c_api.cc:1240: Saving into deprecated binary model format, please consider using `json` or `ubj`. Model format will default to JSON in XGBoost 2.2 if not specified.
  warnings.warn(smsg, UserWarning)
Models & results saved to: /app/classification-analysis/deepgbm_unified_v2/h1

================================================================================
Completed horizon h+1
================================================================================


################################################################################
# HORIZON: 6 HOUR(S)
################################################################################

============================================================
Loading data for horizon h+6
============================================================
Features: 823

[Train XGBoost]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:38:34] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)
[0]	train-mlogloss:1.07334	valid-mlogloss:1.09049
[1]	train-mlogloss:1.04896	valid-mlogloss:1.08039
[2]	train-mlogloss:1.02498	valid-mlogloss:1.06959
[3]	train-mlogloss:1.00166	valid-mlogloss:1.05650
[4]	train-mlogloss:0.97901	valid-mlogloss:1.04708
[5]	train-mlogloss:0.95767	valid-mlogloss:1.03589
[6]	train-mlogloss:0.93768	valid-mlogloss:1.02908
[7]	train-mlogloss:0.91712	valid-mlogloss:1.02164
[8]	train-mlogloss:0.89769	valid-mlogloss:1.01447
[9]	train-mlogloss:0.87918	valid-mlogloss:1.00310
[10]	train-mlogloss:0.86128	valid-mlogloss:0.99415
[11]	train-mlogloss:0.84378	valid-mlogloss:0.98654
[12]	train-mlogloss:0.82632	valid-mlogloss:0.97679
[13]	train-mlogloss:0.81011	valid-mlogloss:0.97215
[14]	train-mlogloss:0.79395	valid-mlogloss:0.95888
[15]	train-mlogloss:0.77884	valid-mlogloss:0.95365
[16]	train-mlogloss:0.76342	valid-mlogloss:0.94790
[17]	train-mlogloss:0.74929	valid-mlogloss:0.93990
[18]	train-mlogloss:0.73515	valid-mlogloss:0.92780
[19]	train-mlogloss:0.72127	valid-mlogloss:0.92420
[20]	train-mlogloss:0.70777	valid-mlogloss:0.91940
[21]	train-mlogloss:0.69448	valid-mlogloss:0.91395
[22]	train-mlogloss:0.68165	valid-mlogloss:0.90560
[23]	train-mlogloss:0.66918	valid-mlogloss:0.90600
[24]	train-mlogloss:0.65724	valid-mlogloss:0.90190
[25]	train-mlogloss:0.64595	valid-mlogloss:0.89711
[26]	train-mlogloss:0.63444	valid-mlogloss:0.89627
[27]	train-mlogloss:0.62311	valid-mlogloss:0.89418
[28]	train-mlogloss:0.61230	valid-mlogloss:0.89242
[29]	train-mlogloss:0.60230	valid-mlogloss:0.88485
[30]	train-mlogloss:0.59203	valid-mlogloss:0.87521
[31]	train-mlogloss:0.58230	valid-mlogloss:0.87350
[32]	train-mlogloss:0.57228	valid-mlogloss:0.87155
[33]	train-mlogloss:0.56292	valid-mlogloss:0.87108
[34]	train-mlogloss:0.55363	valid-mlogloss:0.86962
[35]	train-mlogloss:0.54522	valid-mlogloss:0.86827
[36]	train-mlogloss:0.53661	valid-mlogloss:0.86405
[37]	train-mlogloss:0.52844	valid-mlogloss:0.86075
[38]	train-mlogloss:0.52046	valid-mlogloss:0.85696
[39]	train-mlogloss:0.51246	valid-mlogloss:0.85686
[40]	train-mlogloss:0.50493	valid-mlogloss:0.85277
[41]	train-mlogloss:0.49711	valid-mlogloss:0.84770
[42]	train-mlogloss:0.48943	valid-mlogloss:0.84483
[43]	train-mlogloss:0.48177	valid-mlogloss:0.84325
[44]	train-mlogloss:0.47423	valid-mlogloss:0.84102
[45]	train-mlogloss:0.46747	valid-mlogloss:0.83721
[46]	train-mlogloss:0.46092	valid-mlogloss:0.83241
[47]	train-mlogloss:0.45476	valid-mlogloss:0.83262
[48]	train-mlogloss:0.44829	valid-mlogloss:0.82993
[49]	train-mlogloss:0.44137	valid-mlogloss:0.82920
[50]	train-mlogloss:0.43518	valid-mlogloss:0.82710
[51]	train-mlogloss:0.42887	valid-mlogloss:0.82254
[52]	train-mlogloss:0.42273	valid-mlogloss:0.81980
[53]	train-mlogloss:0.41719	valid-mlogloss:0.82020
[54]	train-mlogloss:0.41140	valid-mlogloss:0.81853
[55]	train-mlogloss:0.40626	valid-mlogloss:0.81704
[56]	train-mlogloss:0.40029	valid-mlogloss:0.81786
[57]	train-mlogloss:0.39489	valid-mlogloss:0.81497
[58]	train-mlogloss:0.39014	valid-mlogloss:0.81264
[59]	train-mlogloss:0.38532	valid-mlogloss:0.81282
[60]	train-mlogloss:0.38008	valid-mlogloss:0.81082
[61]	train-mlogloss:0.37504	valid-mlogloss:0.80810
[62]	train-mlogloss:0.37002	valid-mlogloss:0.80714
[63]	train-mlogloss:0.36565	valid-mlogloss:0.80448
[64]	train-mlogloss:0.36131	valid-mlogloss:0.80314
[65]	train-mlogloss:0.35671	valid-mlogloss:0.80175
[66]	train-mlogloss:0.35238	valid-mlogloss:0.79895
[67]	train-mlogloss:0.34792	valid-mlogloss:0.79722
[68]	train-mlogloss:0.34374	valid-mlogloss:0.79778
[69]	train-mlogloss:0.33922	valid-mlogloss:0.79574
[70]	train-mlogloss:0.33492	valid-mlogloss:0.79396
[71]	train-mlogloss:0.33045	valid-mlogloss:0.79267
[72]	train-mlogloss:0.32668	valid-mlogloss:0.78975
[73]	train-mlogloss:0.32285	valid-mlogloss:0.79008
[74]	train-mlogloss:0.31874	valid-mlogloss:0.78806
[75]	train-mlogloss:0.31485	valid-mlogloss:0.78519
[76]	train-mlogloss:0.31133	valid-mlogloss:0.78599
[77]	train-mlogloss:0.30793	valid-mlogloss:0.78400
[78]	train-mlogloss:0.30451	valid-mlogloss:0.78078
[79]	train-mlogloss:0.30068	valid-mlogloss:0.77908
[80]	train-mlogloss:0.29732	valid-mlogloss:0.77875
[81]	train-mlogloss:0.29408	valid-mlogloss:0.77539
[82]	train-mlogloss:0.29111	valid-mlogloss:0.77426
[83]	train-mlogloss:0.28805	valid-mlogloss:0.77256
[84]	train-mlogloss:0.28507	valid-mlogloss:0.77313
[85]	train-mlogloss:0.28144	valid-mlogloss:0.77223
[86]	train-mlogloss:0.27808	valid-mlogloss:0.77609
[87]	train-mlogloss:0.27470	valid-mlogloss:0.77738
[88]	train-mlogloss:0.27156	valid-mlogloss:0.77754
[89]	train-mlogloss:0.26853	valid-mlogloss:0.77847
[90]	train-mlogloss:0.26560	valid-mlogloss:0.77953
[91]	train-mlogloss:0.26236	valid-mlogloss:0.77904
[92]	train-mlogloss:0.25990	valid-mlogloss:0.77763
[93]	train-mlogloss:0.25710	valid-mlogloss:0.77482
[94]	train-mlogloss:0.25466	valid-mlogloss:0.77308
[95]	train-mlogloss:0.25182	valid-mlogloss:0.77113
[96]	train-mlogloss:0.24936	valid-mlogloss:0.77151
[97]	train-mlogloss:0.24662	valid-mlogloss:0.77150
[98]	train-mlogloss:0.24381	valid-mlogloss:0.76978
[99]	train-mlogloss:0.24147	valid-mlogloss:0.76921
[100]	train-mlogloss:0.23904	valid-mlogloss:0.76632
[101]	train-mlogloss:0.23643	valid-mlogloss:0.76712
[102]	train-mlogloss:0.23424	valid-mlogloss:0.76875
[103]	train-mlogloss:0.23187	valid-mlogloss:0.76766
[104]	train-mlogloss:0.22981	valid-mlogloss:0.76548
[105]	train-mlogloss:0.22754	valid-mlogloss:0.76509
[106]	train-mlogloss:0.22489	valid-mlogloss:0.76433
[107]	train-mlogloss:0.22264	valid-mlogloss:0.76392
[108]	train-mlogloss:0.22074	valid-mlogloss:0.76327
[109]	train-mlogloss:0.21846	valid-mlogloss:0.76171
[110]	train-mlogloss:0.21617	valid-mlogloss:0.75962
[111]	train-mlogloss:0.21415	valid-mlogloss:0.75995
[112]	train-mlogloss:0.21230	valid-mlogloss:0.75943
[113]	train-mlogloss:0.21076	valid-mlogloss:0.75995
[114]	train-mlogloss:0.20871	valid-mlogloss:0.75900
[115]	train-mlogloss:0.20647	valid-mlogloss:0.75906
[116]	train-mlogloss:0.20444	valid-mlogloss:0.75803
[117]	train-mlogloss:0.20240	valid-mlogloss:0.75898
[118]	train-mlogloss:0.20034	valid-mlogloss:0.75881
[119]	train-mlogloss:0.19835	valid-mlogloss:0.75691
[120]	train-mlogloss:0.19674	valid-mlogloss:0.75774
[121]	train-mlogloss:0.19487	valid-mlogloss:0.75770
[122]	train-mlogloss:0.19339	valid-mlogloss:0.75664
[123]	train-mlogloss:0.19159	valid-mlogloss:0.75568
[124]	train-mlogloss:0.19008	valid-mlogloss:0.75609
[125]	train-mlogloss:0.18849	valid-mlogloss:0.75585
[126]	train-mlogloss:0.18688	valid-mlogloss:0.75502
[127]	train-mlogloss:0.18500	valid-mlogloss:0.75673
[128]	train-mlogloss:0.18341	valid-mlogloss:0.75520
[129]	train-mlogloss:0.18179	valid-mlogloss:0.75351
[130]	train-mlogloss:0.18027	valid-mlogloss:0.75082
[131]	train-mlogloss:0.17862	valid-mlogloss:0.75003
[132]	train-mlogloss:0.17718	valid-mlogloss:0.74797
[133]	train-mlogloss:0.17558	valid-mlogloss:0.74708
[134]	train-mlogloss:0.17421	valid-mlogloss:0.74484
[135]	train-mlogloss:0.17291	valid-mlogloss:0.74479
[136]	train-mlogloss:0.17161	valid-mlogloss:0.74481
[137]	train-mlogloss:0.17019	valid-mlogloss:0.74435
[138]	train-mlogloss:0.16871	valid-mlogloss:0.74398
[139]	train-mlogloss:0.16732	valid-mlogloss:0.74245
[140]	train-mlogloss:0.16603	valid-mlogloss:0.74204
[141]	train-mlogloss:0.16468	valid-mlogloss:0.74070
[142]	train-mlogloss:0.16328	valid-mlogloss:0.74016
[143]	train-mlogloss:0.16189	valid-mlogloss:0.73964
[144]	train-mlogloss:0.16052	valid-mlogloss:0.73772
[145]	train-mlogloss:0.15914	valid-mlogloss:0.73779
[146]	train-mlogloss:0.15769	valid-mlogloss:0.73757
[147]	train-mlogloss:0.15641	valid-mlogloss:0.73453
[148]	train-mlogloss:0.15532	valid-mlogloss:0.73645
[149]	train-mlogloss:0.15422	valid-mlogloss:0.73586
[150]	train-mlogloss:0.15293	valid-mlogloss:0.73510
[151]	train-mlogloss:0.15159	valid-mlogloss:0.73658
[152]	train-mlogloss:0.15050	valid-mlogloss:0.73810
[153]	train-mlogloss:0.14920	valid-mlogloss:0.73713
[154]	train-mlogloss:0.14799	valid-mlogloss:0.73668
[155]	train-mlogloss:0.14683	valid-mlogloss:0.73717
[156]	train-mlogloss:0.14562	valid-mlogloss:0.73719
[157]	train-mlogloss:0.14451	valid-mlogloss:0.73693
[158]	train-mlogloss:0.14332	valid-mlogloss:0.73711
[159]	train-mlogloss:0.14223	valid-mlogloss:0.73451
[160]	train-mlogloss:0.14100	valid-mlogloss:0.73501
[161]	train-mlogloss:0.14018	valid-mlogloss:0.73602
[162]	train-mlogloss:0.13920	valid-mlogloss:0.73548
[163]	train-mlogloss:0.13813	valid-mlogloss:0.73610
[164]	train-mlogloss:0.13687	valid-mlogloss:0.73727
[165]	train-mlogloss:0.13586	valid-mlogloss:0.73714
[166]	train-mlogloss:0.13472	valid-mlogloss:0.73641
[167]	train-mlogloss:0.13371	valid-mlogloss:0.73695
[168]	train-mlogloss:0.13289	valid-mlogloss:0.73780
[169]	train-mlogloss:0.13179	valid-mlogloss:0.73773
[170]	train-mlogloss:0.13078	valid-mlogloss:0.73600
[171]	train-mlogloss:0.12990	valid-mlogloss:0.73692
[172]	train-mlogloss:0.12885	valid-mlogloss:0.73698
[173]	train-mlogloss:0.12798	valid-mlogloss:0.73620
[174]	train-mlogloss:0.12702	valid-mlogloss:0.73557
[175]	train-mlogloss:0.12612	valid-mlogloss:0.73533
[176]	train-mlogloss:0.12521	valid-mlogloss:0.73524
[177]	train-mlogloss:0.12421	valid-mlogloss:0.73391
[178]	train-mlogloss:0.12334	valid-mlogloss:0.73514
[179]	train-mlogloss:0.12249	valid-mlogloss:0.73424
[180]	train-mlogloss:0.12154	valid-mlogloss:0.73379
[181]	train-mlogloss:0.12056	valid-mlogloss:0.73336
[182]	train-mlogloss:0.11976	valid-mlogloss:0.73386
[183]	train-mlogloss:0.11892	valid-mlogloss:0.73111
[184]	train-mlogloss:0.11822	valid-mlogloss:0.73197
[185]	train-mlogloss:0.11746	valid-mlogloss:0.73039
[186]	train-mlogloss:0.11662	valid-mlogloss:0.72971
[187]	train-mlogloss:0.11589	valid-mlogloss:0.72881
[188]	train-mlogloss:0.11506	valid-mlogloss:0.72841
[189]	train-mlogloss:0.11423	valid-mlogloss:0.72848
[190]	train-mlogloss:0.11355	valid-mlogloss:0.72831
[191]	train-mlogloss:0.11277	valid-mlogloss:0.72801
[192]	train-mlogloss:0.11202	valid-mlogloss:0.72810
[193]	train-mlogloss:0.11104	valid-mlogloss:0.72689
[194]	train-mlogloss:0.11024	valid-mlogloss:0.72717
[195]	train-mlogloss:0.10942	valid-mlogloss:0.72664
[196]	train-mlogloss:0.10888	valid-mlogloss:0.72829
[197]	train-mlogloss:0.10809	valid-mlogloss:0.72764
[198]	train-mlogloss:0.10734	valid-mlogloss:0.72667
[199]	train-mlogloss:0.10661	valid-mlogloss:0.72613
[200]	train-mlogloss:0.10593	valid-mlogloss:0.72560
[201]	train-mlogloss:0.10526	valid-mlogloss:0.72411
[202]	train-mlogloss:0.10451	valid-mlogloss:0.72414
[203]	train-mlogloss:0.10373	valid-mlogloss:0.72339
[204]	train-mlogloss:0.10317	valid-mlogloss:0.72451
[205]	train-mlogloss:0.10255	valid-mlogloss:0.72500
[206]	train-mlogloss:0.10190	valid-mlogloss:0.72473
[207]	train-mlogloss:0.10131	valid-mlogloss:0.72406
[208]	train-mlogloss:0.10058	valid-mlogloss:0.72392
[209]	train-mlogloss:0.09992	valid-mlogloss:0.72229
[210]	train-mlogloss:0.09919	valid-mlogloss:0.72279
[211]	train-mlogloss:0.09859	valid-mlogloss:0.72219
[212]	train-mlogloss:0.09797	valid-mlogloss:0.72322
[213]	train-mlogloss:0.09739	valid-mlogloss:0.72400
[214]	train-mlogloss:0.09678	valid-mlogloss:0.72383
[215]	train-mlogloss:0.09615	valid-mlogloss:0.72330
[216]	train-mlogloss:0.09552	valid-mlogloss:0.72358
[217]	train-mlogloss:0.09497	valid-mlogloss:0.72243
[218]	train-mlogloss:0.09441	valid-mlogloss:0.72280
[219]	train-mlogloss:0.09387	valid-mlogloss:0.72238
[220]	train-mlogloss:0.09326	valid-mlogloss:0.72227
[221]	train-mlogloss:0.09269	valid-mlogloss:0.72170
[222]	train-mlogloss:0.09208	valid-mlogloss:0.72074
[223]	train-mlogloss:0.09151	valid-mlogloss:0.71978
[224]	train-mlogloss:0.09098	valid-mlogloss:0.71966
[225]	train-mlogloss:0.09036	valid-mlogloss:0.72013
[226]	train-mlogloss:0.08979	valid-mlogloss:0.71996
[227]	train-mlogloss:0.08927	valid-mlogloss:0.71994
[228]	train-mlogloss:0.08870	valid-mlogloss:0.71989
[229]	train-mlogloss:0.08817	valid-mlogloss:0.72102
[230]	train-mlogloss:0.08756	valid-mlogloss:0.72144
[231]	train-mlogloss:0.08695	valid-mlogloss:0.72041
[232]	train-mlogloss:0.08645	valid-mlogloss:0.72076
[233]	train-mlogloss:0.08602	valid-mlogloss:0.72042
[234]	train-mlogloss:0.08548	valid-mlogloss:0.72032
[235]	train-mlogloss:0.08494	valid-mlogloss:0.72115
[236]	train-mlogloss:0.08440	valid-mlogloss:0.71925
[237]	train-mlogloss:0.08395	valid-mlogloss:0.71886
[238]	train-mlogloss:0.08346	valid-mlogloss:0.71767
[239]	train-mlogloss:0.08294	valid-mlogloss:0.71869
[240]	train-mlogloss:0.08237	valid-mlogloss:0.71794
[241]	train-mlogloss:0.08192	valid-mlogloss:0.71730
[242]	train-mlogloss:0.08140	valid-mlogloss:0.71792
[243]	train-mlogloss:0.08096	valid-mlogloss:0.71706
[244]	train-mlogloss:0.08048	valid-mlogloss:0.71671
[245]	train-mlogloss:0.08002	valid-mlogloss:0.71597
[246]	train-mlogloss:0.07947	valid-mlogloss:0.71507
[247]	train-mlogloss:0.07903	valid-mlogloss:0.71474
[248]	train-mlogloss:0.07855	valid-mlogloss:0.71351
[249]	train-mlogloss:0.07806	valid-mlogloss:0.71362
[250]	train-mlogloss:0.07761	valid-mlogloss:0.71401
[251]	train-mlogloss:0.07716	valid-mlogloss:0.71390
[252]	train-mlogloss:0.07675	valid-mlogloss:0.71410
[253]	train-mlogloss:0.07633	valid-mlogloss:0.71381
[254]	train-mlogloss:0.07592	valid-mlogloss:0.71359
[255]	train-mlogloss:0.07552	valid-mlogloss:0.71377
[256]	train-mlogloss:0.07512	valid-mlogloss:0.71284
[257]	train-mlogloss:0.07472	valid-mlogloss:0.71347
[258]	train-mlogloss:0.07431	valid-mlogloss:0.71349
[259]	train-mlogloss:0.07387	valid-mlogloss:0.71353
[260]	train-mlogloss:0.07342	valid-mlogloss:0.71344
[261]	train-mlogloss:0.07298	valid-mlogloss:0.71282
[262]	train-mlogloss:0.07254	valid-mlogloss:0.71201
[263]	train-mlogloss:0.07210	valid-mlogloss:0.71079
[264]	train-mlogloss:0.07171	valid-mlogloss:0.71038
[265]	train-mlogloss:0.07131	valid-mlogloss:0.70995
[266]	train-mlogloss:0.07095	valid-mlogloss:0.71039
[267]	train-mlogloss:0.07058	valid-mlogloss:0.71098
[268]	train-mlogloss:0.07019	valid-mlogloss:0.71074
[269]	train-mlogloss:0.06984	valid-mlogloss:0.71153
[270]	train-mlogloss:0.06945	valid-mlogloss:0.71273
[271]	train-mlogloss:0.06903	valid-mlogloss:0.71194
[272]	train-mlogloss:0.06868	valid-mlogloss:0.71226
[273]	train-mlogloss:0.06832	valid-mlogloss:0.71239
[274]	train-mlogloss:0.06798	valid-mlogloss:0.71241
[275]	train-mlogloss:0.06764	valid-mlogloss:0.71228
[276]	train-mlogloss:0.06731	valid-mlogloss:0.71261
[277]	train-mlogloss:0.06701	valid-mlogloss:0.71189
[278]	train-mlogloss:0.06668	valid-mlogloss:0.71031
[279]	train-mlogloss:0.06638	valid-mlogloss:0.71018
[280]	train-mlogloss:0.06605	valid-mlogloss:0.71046
[281]	train-mlogloss:0.06573	valid-mlogloss:0.71090
[282]	train-mlogloss:0.06539	valid-mlogloss:0.71214
[283]	train-mlogloss:0.06509	valid-mlogloss:0.71160
[284]	train-mlogloss:0.06474	valid-mlogloss:0.71073
[285]	train-mlogloss:0.06436	valid-mlogloss:0.71087
[286]	train-mlogloss:0.06408	valid-mlogloss:0.71044
[287]	train-mlogloss:0.06378	valid-mlogloss:0.71052
[288]	train-mlogloss:0.06351	valid-mlogloss:0.71031
[289]	train-mlogloss:0.06319	valid-mlogloss:0.71031
[290]	train-mlogloss:0.06288	valid-mlogloss:0.71135
[291]	train-mlogloss:0.06256	valid-mlogloss:0.71142
[292]	train-mlogloss:0.06227	valid-mlogloss:0.71150
[293]	train-mlogloss:0.06198	valid-mlogloss:0.71176
[294]	train-mlogloss:0.06170	valid-mlogloss:0.71197
[295]	train-mlogloss:0.06138	valid-mlogloss:0.71194
[296]	train-mlogloss:0.06112	valid-mlogloss:0.71208
[297]	train-mlogloss:0.06085	valid-mlogloss:0.71166
[298]	train-mlogloss:0.06059	valid-mlogloss:0.71183
[299]	train-mlogloss:0.06029	valid-mlogloss:0.71140
[300]	train-mlogloss:0.06002	valid-mlogloss:0.71184
[301]	train-mlogloss:0.05972	valid-mlogloss:0.71218
[302]	train-mlogloss:0.05941	valid-mlogloss:0.71264
[303]	train-mlogloss:0.05912	valid-mlogloss:0.71160
[304]	train-mlogloss:0.05884	valid-mlogloss:0.71132
[305]	train-mlogloss:0.05858	valid-mlogloss:0.71102
[306]	train-mlogloss:0.05831	valid-mlogloss:0.71004
[307]	train-mlogloss:0.05803	valid-mlogloss:0.70944
[308]	train-mlogloss:0.05773	valid-mlogloss:0.70950
[309]	train-mlogloss:0.05743	valid-mlogloss:0.70951
[310]	train-mlogloss:0.05719	valid-mlogloss:0.70984
[311]	train-mlogloss:0.05696	valid-mlogloss:0.71016
[312]	train-mlogloss:0.05669	valid-mlogloss:0.71070
[313]	train-mlogloss:0.05640	valid-mlogloss:0.71082
[314]	train-mlogloss:0.05617	valid-mlogloss:0.71032
[315]	train-mlogloss:0.05595	valid-mlogloss:0.70992
[316]	train-mlogloss:0.05571	valid-mlogloss:0.71009
[317]	train-mlogloss:0.05549	valid-mlogloss:0.70988
[318]	train-mlogloss:0.05526	valid-mlogloss:0.70956
[319]	train-mlogloss:0.05499	valid-mlogloss:0.70940
[320]	train-mlogloss:0.05472	valid-mlogloss:0.70938
[321]	train-mlogloss:0.05449	valid-mlogloss:0.70971
[322]	train-mlogloss:0.05422	valid-mlogloss:0.71026
[323]	train-mlogloss:0.05400	valid-mlogloss:0.71034
[324]	train-mlogloss:0.05374	valid-mlogloss:0.71035
[325]	train-mlogloss:0.05349	valid-mlogloss:0.71137
[326]	train-mlogloss:0.05327	valid-mlogloss:0.71214
[327]	train-mlogloss:0.05302	valid-mlogloss:0.71184
[328]	train-mlogloss:0.05276	valid-mlogloss:0.71249
[329]	train-mlogloss:0.05253	valid-mlogloss:0.71195
[330]	train-mlogloss:0.05230	valid-mlogloss:0.71073
[331]	train-mlogloss:0.05205	valid-mlogloss:0.70961
[332]	train-mlogloss:0.05183	valid-mlogloss:0.70951
[333]	train-mlogloss:0.05161	valid-mlogloss:0.70952
[334]	train-mlogloss:0.05138	valid-mlogloss:0.70984
[335]	train-mlogloss:0.05116	valid-mlogloss:0.70996
[336]	train-mlogloss:0.05095	valid-mlogloss:0.70976
[337]	train-mlogloss:0.05072	valid-mlogloss:0.71009
[338]	train-mlogloss:0.05049	valid-mlogloss:0.70964
[339]	train-mlogloss:0.05030	valid-mlogloss:0.70978
[340]	train-mlogloss:0.05010	valid-mlogloss:0.70989
[341]	train-mlogloss:0.04989	valid-mlogloss:0.70926
[342]	train-mlogloss:0.04970	valid-mlogloss:0.70956
[343]	train-mlogloss:0.04949	valid-mlogloss:0.70847
[344]	train-mlogloss:0.04927	valid-mlogloss:0.70782
[345]	train-mlogloss:0.04905	valid-mlogloss:0.70777
[346]	train-mlogloss:0.04887	valid-mlogloss:0.70643
[347]	train-mlogloss:0.04867	valid-mlogloss:0.70609
[348]	train-mlogloss:0.04846	valid-mlogloss:0.70602
[349]	train-mlogloss:0.04827	valid-mlogloss:0.70562
[350]	train-mlogloss:0.04808	valid-mlogloss:0.70563
[351]	train-mlogloss:0.04789	valid-mlogloss:0.70603
[352]	train-mlogloss:0.04770	valid-mlogloss:0.70605
[353]	train-mlogloss:0.04752	valid-mlogloss:0.70613
[354]	train-mlogloss:0.04732	valid-mlogloss:0.70571
[355]	train-mlogloss:0.04714	valid-mlogloss:0.70585
[356]	train-mlogloss:0.04695	valid-mlogloss:0.70558
[357]	train-mlogloss:0.04678	valid-mlogloss:0.70509
[358]	train-mlogloss:0.04658	valid-mlogloss:0.70451
[359]	train-mlogloss:0.04639	valid-mlogloss:0.70304
